date,close
2015-05-20,19.29
2015-05-21,19.31
2015-05-22,19.88
2015-05-26,19.39
2015-05-27,19.61
2015-05-28,19.28
2015-05-29,19.85
2015-06-01,21.12
2015-06-02,21.09
2015-06-03,21.38
2015-06-04,21.5
2015-06-05,22.08
2015-06-08,22.34
2015-06-09,22.18
2015-06-10,22.28
2015-06-11,22.42
2015-06-12,22.08
2015-06-15,22.71
2015-06-16,22.63
2015-06-17,22.88
2015-06-18,24.42
2015-06-19,23.78
2015-06-22,24.28
2015-06-23,24.49
2015-06-24,23.52
2015-06-25,22.98
2015-06-26,23.61
2015-06-29,22.58
2015-06-30,22.81
2015-07-01,22.43
2015-07-02,21.27
2015-07-06,21.74
2015-07-07,21.61
2015-07-08,21.21
2015-07-09,21.27
2015-07-10,21.76
2015-07-13,21.76
2015-07-14,22.5
2015-07-15,21.98
2015-07-16,22.69
2015-07-17,23.54
2015-07-20,23.14
2015-07-21,22.89
2015-07-22,23.1
2015-07-23,22.6
2015-07-24,22.0
2015-07-27,21.97
2015-07-28,22.43
2015-07-29,21.96
2015-07-30,21.75
2015-07-31,21.74
2015-08-03,21.76
2015-08-04,22.05
2015-08-05,23.12
2015-08-06,22.08
2015-08-07,22.08
2015-08-10,22.48
2015-08-11,21.56
2015-08-12,21.56
2015-08-13,21.55
2015-08-14,21.67
2015-08-17,21.94
2015-08-18,21.65
2015-08-19,22.53
2015-08-20,20.16
2015-08-21,19.94
2015-08-24,19.02
2015-08-25,19.26
2015-08-26,19.99
2015-08-27,20.22
2015-08-28,20.37
2015-08-31,19.51
2015-09-01,18.89
2015-09-02,19.58
2015-09-03,18.39
2015-09-04,18.39
2015-09-08,18.96
2015-09-09,18.95
2015-09-10,19.03
2015-09-11,18.99
2015-09-14,18.18
2015-09-15,18.33
2015-09-16,18.13
2015-09-17,18.46
2015-09-18,18.46
2015-09-21,17.7
2015-09-22,17.28
2015-09-23,17.39
2015-09-24,17.43
2015-09-25,16.86
2015-09-28,16.39
2015-09-29,16.06
2015-09-30,16.41
2015-10-01,16.16
2015-10-02,16.83
2015-10-05,17.42
2015-10-06,16.53
2015-10-07,16.65
2015-10-08,16.72
2015-10-09,16.54
2015-10-12,16.67
2015-10-13,16.05
2015-10-14,16.15
2015-10-15,16.7
