date,close,Mkt-RF,SMB,HML,RMW,CMA
2016-07-12,0.165,0.75,0.73,1.0,-0.63,0.64
2016-07-13,0.165,-0.05,-0.46,0.51,0.54,0.0
2016-07-14,0.165,0.51,-0.42,0.45,-0.04,0.0
2016-07-15,0.24,-0.05,0.29,0.01,-0.3,0.0
2016-07-18,0.237,0.25,0.01,-0.12,0.09,-0.23
2016-07-19,0.237,-0.22,-0.62,0.05,0.47,-0.23
2016-07-20,0.2739,0.48,0.39,-0.87,-0.03,-0.35
2016-07-21,0.269,-0.38,-0.08,-0.01,0.0,0.03
2016-07-22,0.269,0.48,0.28,-0.08,0.41,-0.25
2016-07-25,0.293,-0.27,-0.01,-0.24,0.51,-0.39
2016-07-26,0.293,0.13,0.61,0.54,-0.44,0.73
2016-07-27,0.293,-0.14,0.52,-0.42,-0.12,-0.56
2016-07-28,0.3207,0.18,-0.45,-0.34,-0.06,-0.14
2016-07-29,0.3,0.17,-0.03,0.04,0.0,0.32
2016-08-01,0.3,-0.16,0.07,-0.87,0.69,-0.73
2016-08-02,0.368,-0.7,-0.63,0.17,-0.54,0.15
2016-08-03,0.387,0.45,0.57,0.83,-0.71,0.15
2016-08-04,0.381,0.05,0.07,-0.33,0.14,0.07
2016-08-05,0.3814,0.93,0.56,0.87,-0.5,-0.36
2016-08-08,0.347,-0.06,0.1,0.57,0.0,0.43
2016-08-09,0.367,0.05,-0.05,-0.31,-0.13,-0.21
2016-08-10,0.367,-0.29,-0.45,-0.13,0.71,0.01
2016-08-11,0.367,0.54,0.15,0.04,-0.3,0.16
2016-08-12,0.367,-0.06,0.12,-0.18,-0.19,-0.28
2016-08-15,0.366,0.39,0.79,0.39,-0.27,0.35
2016-08-16,0.344,-0.57,-0.19,0.61,-0.1,0.3
2016-08-17,0.344,0.12,-0.49,0.25,0.08,0.07
2016-08-18,0.3476,0.32,0.47,0.37,-0.54,0.33
2016-08-19,0.3517,-0.11,0.1,-0.12,0.29,-0.15
2016-08-22,0.3517,-0.02,0.22,-0.41,0.02,-0.36
2016-08-23,0.3903,0.27,0.55,-0.01,0.03,0.06
2016-08-24,0.3511,-0.56,-0.44,0.4,0.38,-0.07
2016-08-25,0.3511,-0.08,0.22,0.48,-0.18,0.29
2016-08-26,0.33,-0.15,0.12,-0.13,-0.36,-0.19
2016-08-29,0.3478,0.53,0.01,0.35,-0.1,0.21
2016-08-30,0.358,-0.14,0.21,0.31,-0.05,-0.3
2016-08-31,0.3864,-0.24,-0.34,0.13,0.27,-0.35
2016-09-01,0.3837,0.03,0.06,-0.49,0.15,-0.13
2016-09-02,0.3864,0.53,0.42,0.36,-0.16,0.19
2016-09-06,0.388,0.26,0.0,-0.53,-0.71,-0.03
2016-09-07,0.39,0.09,0.6,0.03,-0.1,-0.24
2016-09-08,0.375,-0.18,0.03,0.57,-0.9,0.41
2016-09-09,0.385,-2.47,-0.55,0.31,0.08,-0.43
2016-09-12,0.41,1.44,-0.04,-0.47,-0.07,-0.19
2016-09-13,0.3901,-1.48,-0.32,-0.47,0.63,-0.76
2016-09-14,0.4566,-0.08,0.05,-0.83,0.14,-0.5
2016-09-15,0.506,1.07,0.3,-0.33,0.08,-0.22
2016-09-16,0.6,-0.36,0.29,-0.45,0.17,-0.21
2016-09-19,0.6,0.05,0.49,0.17,-0.04,0.35
2016-09-20,0.5708,-0.02,-0.32,-0.51,-0.44,-0.11
