date,close
2015-05-20,30.09
2015-05-21,30.55
2015-05-22,32.05
2015-05-26,31.9
2015-05-27,32.57
2015-05-28,32.23
2015-05-29,32.43
2015-06-01,31.92
2015-06-02,32.3
2015-06-03,32.14
2015-06-04,31.31
2015-06-05,32.27
2015-06-08,32.32
2015-06-09,31.46
2015-06-10,31.84
2015-06-11,31.9
2015-06-12,31.79
2015-06-15,31.88
2015-06-16,31.73
2015-06-17,33.18
2015-06-18,33.47
2015-06-19,33.88
2015-06-22,34.51
2015-06-23,34.27
2015-06-24,33.07
2015-06-25,33.42
2015-06-26,32.75
2015-06-29,33.35
2015-06-30,34.74
2015-07-01,34.58
2015-07-02,34.87
2015-07-06,34.54
2015-07-07,33.86
2015-07-08,33.99
2015-07-09,34.81
2015-07-10,35.94
2015-07-13,34.97
2015-07-14,35.72
2015-07-15,35.32
2015-07-16,36.69
2015-07-17,37.08
2015-07-20,38.31
2015-07-21,38.45
2015-07-22,37.91
2015-07-23,38.08
2015-07-24,37.2
2015-07-27,36.13
2015-07-28,38.32
2015-07-29,37.2
2015-07-30,36.31
2015-07-31,36.85
2015-08-03,35.17
2015-08-04,35.0
2015-08-05,35.06
2015-08-06,32.73
2015-08-07,33.08
2015-08-10,32.68
2015-08-11,32.75
2015-08-12,32.48
2015-08-13,31.56
2015-08-14,30.65
2015-08-17,31.83
2015-08-18,31.74
2015-08-19,31.27
2015-08-20,29.66
2015-08-21,29.0
2015-08-24,27.37
2015-08-25,27.93
2015-08-26,29.07
2015-08-27,30.67
2015-08-28,30.48
2015-08-31,29.22
2015-09-01,29.0
2015-09-02,30.15
2015-09-03,29.61
2015-09-04,29.4
2015-09-08,29.72
2015-09-09,28.43
2015-09-10,28.58
2015-09-11,28.99
2015-09-14,29.02
2015-09-15,29.2
2015-09-16,28.91
2015-09-17,31.16
2015-09-18,31.92
2015-09-21,28.99
2015-09-22,25.52
2015-09-23,25.69
2015-09-24,23.79
2015-09-25,22.78
2015-09-28,18.01
2015-09-29,16.81
2015-09-30,19.82
2015-10-01,20.36
2015-10-02,21.11
2015-10-05,20.21
2015-10-06,18.91
2015-10-07,18.35
2015-10-08,18.32
2015-10-09,19.51
2015-10-12,19.13
2015-10-13,18.48
2015-10-14,18.61
2015-10-15,18.55
2015-10-16,19.27
2015-10-19,19.07
2015-10-20,15.26
2015-10-21,14.83
2015-10-22,13.12
2015-10-23,17.06
2015-10-26,17.12
2015-10-27,16.54
2015-10-28,17.31
2015-10-29,17.49
2015-10-30,15.72
2015-11-02,16.65
2015-11-03,17.1
2015-11-04,16.81
2015-11-05,17.26
2015-11-06,21.0
2015-11-09,22.29
2015-11-10,22.38
2015-11-11,17.99
2015-11-12,17.61
2015-11-13,17.99
2015-11-16,18.96
2015-11-17,18.71
2015-11-18,18.97
2015-11-19,18.82
2015-11-20,20.28
2015-11-23,21.61
2015-11-24,21.68
2015-11-25,21.81
2015-11-27,21.77
2015-11-30,21.53
2015-12-01,21.3
2015-12-02,22.03
2015-12-03,20.17
2015-12-04,20.03
2015-12-07,19.16
2015-12-08,20.4
2015-12-09,19.85
2015-12-10,20.4
2015-12-11,18.99
2015-12-14,18.97
2015-12-15,20.76
2015-12-16,21.15
2015-12-17,21.3
2015-12-18,20.79
2015-12-21,21.15
2015-12-22,21.09
2015-12-23,22.58
2015-12-24,22.13
2015-12-28,21.7
2015-12-29,22.25
2015-12-30,22.38
2015-12-31,21.67
2016-01-04,21.07
2016-01-05,21.53
2016-01-06,20.94
2016-01-07,19.59
2016-01-08,18.99
2016-01-11,18.09
2016-01-12,19.21
2016-01-13,17.45
2016-01-14,18.51
2016-01-15,18.37
2016-01-19,17.72
2016-01-20,19.05
2016-01-21,18.4
2016-01-22,18.85
2016-01-25,18.46
2016-01-26,18.56
2016-01-27,17.33
2016-01-28,16.46
2016-01-29,17.5
2016-02-01,17.47
2016-02-02,16.42
2016-02-03,17.44
2016-02-04,17.8
2016-02-05,17.15
2016-02-08,16.07
2016-02-09,16.2
2016-02-10,16.29
2016-02-11,16.13
2016-02-12,17.02
2016-02-16,18.01
2016-02-17,18.68
2016-02-18,18.12
2016-02-19,18.27
2016-02-22,18.75
2016-02-23,18.28
2016-02-24,18.46
2016-02-25,18.91
2016-02-26,19.79
2016-02-29,17.16
2016-03-01,17.19
2016-03-02,17.6
2016-03-03,17.29
2016-03-04,16.78
2016-03-07,17.33
2016-03-08,16.4
2016-03-09,16.53
2016-03-10,16.48
2016-03-11,18.63
2016-03-14,18.23
2016-03-15,15.74
2016-03-16,15.31
2016-03-17,14.27
2016-03-18,14.02
2016-03-21,14.94
2016-03-22,15.74
2016-03-23,16.32
2016-03-24,16.02
2016-03-28,15.55
2016-03-29,15.86
2016-03-30,16.01
2016-03-31,16.57
2016-04-01,17.37
2016-04-04,17.65
2016-04-05,17.24
2016-04-06,18.79
2016-04-07,18.75
2016-04-08,18.8
2016-04-11,18.22
2016-04-12,13.42
2016-04-13,14.08
2016-04-14,14.17
2016-04-15,14.78
2016-04-18,15.04
2016-04-19,14.47
2016-04-20,14.67
2016-04-21,16.07
2016-04-22,16.39
2016-04-25,16.22
2016-04-26,15.71
2016-04-27,15.8
2016-04-28,15.5
2016-04-29,15.37
2016-05-02,15.31
2016-05-03,15.23
2016-05-04,14.73
2016-05-05,14.59
2016-05-06,13.41
2016-05-09,15.27
2016-05-10,14.7
2016-05-11,14.02
2016-05-12,13.57
2016-05-13,14.08
2016-05-16,14.85
2016-05-17,15.18
2016-05-18,15.33
2016-05-19,14.61
2016-05-20,15.19
2016-05-23,15.3
2016-05-24,15.44
2016-05-25,16.16
2016-05-26,16.32
2016-05-27,16.6
2016-05-31,17.23
2016-06-01,17.5
2016-06-02,17.89
2016-06-03,17.81
2016-06-06,18.82
2016-06-07,18.46
2016-06-08,18.54
2016-06-09,18.53
2016-06-10,17.88
2016-06-13,17.37
2016-06-14,17.63
2016-06-15,17.45
2016-06-16,17.43
2016-06-17,16.56
2016-06-20,16.8
2016-06-21,16.74
2016-06-22,16.79
2016-06-23,17.44
2016-06-24,16.25
2016-06-27,15.03
2016-06-28,15.67
2016-06-29,16.75
2016-06-30,16.47
2016-07-01,16.82
2016-07-05,16.72
2016-07-06,17.51
2016-07-07,18.19
2016-07-08,18.71
2016-07-11,19.12
2016-07-12,18.89
2016-07-13,18.35
2016-07-14,18.69
2016-07-15,19.12
2016-07-18,19.02
2016-07-19,18.67
2016-07-20,19.16
2016-07-21,19.07
2016-07-22,18.86
2016-07-25,18.73
2016-07-26,19.1
2016-07-27,19.85
2016-07-28,19.62
2016-07-29,19.29
2016-08-01,18.89
2016-08-02,19.43
2016-08-03,19.76
2016-08-04,19.46
2016-08-05,20.1
2016-08-08,20.96
2016-08-09,22.6
2016-08-10,22.38
2016-08-11,23.08
2016-08-12,23.19
2016-08-15,23.11
2016-08-16,22.83
2016-08-17,22.61
2016-08-18,23.16
2016-08-19,22.82
2016-08-22,22.54
2016-08-23,22.39
2016-08-24,20.09
2016-08-25,19.18
2016-08-26,19.43
2016-08-29,18.84
2016-08-30,19.01
2016-08-31,18.8
2016-09-01,18.62
2016-09-02,17.84
2016-09-06,17.9
2016-09-07,17.83
2016-09-08,17.85
2016-09-09,17.26
2016-09-12,18.89
2016-09-13,19.16
2016-09-14,19.63
2016-09-15,19.58
2016-09-16,19.28
2016-09-19,19.12
2016-09-20,18.91
2016-09-21,19.17
2016-09-22,19.41
2016-09-23,19.43
2016-09-26,18.82
2016-09-27,18.86
2016-09-28,18.78
2016-09-29,17.77
2016-09-30,18.13
2016-10-03,18.77
2016-10-04,18.85
2016-10-05,19.25
2016-10-06,18.96
2016-10-07,18.73
2016-10-10,19.52
2016-10-11,18.25
2016-10-12,17.67
2016-10-13,17.92
2016-10-14,17.52
2016-10-17,17.56
2016-10-18,18.04
2016-10-19,17.86
2016-10-20,18.02
2016-10-21,17.5
2016-10-24,17.87
2016-10-25,18.31
2016-10-26,18.14
2016-10-27,18.34
2016-10-28,17.85
2016-10-31,16.72
2016-11-01,16.91
2016-11-02,16.18
2016-11-03,15.02
2016-11-04,15.05
2016-11-07,17.16
2016-11-08,17.4
2016-11-09,18.7
2016-11-10,19.87
2016-11-11,20.3
2016-11-14,20.46
2016-11-15,20.86
2016-11-16,21.13
2016-11-17,21.61
2016-11-18,21.41
2016-11-21,21.45
2016-11-22,21.2
2016-11-23,21.7
2016-11-25,21.49
2016-11-28,21.18
2016-11-29,21.05
2016-11-30,19.8
2016-12-01,19.43
2016-12-02,19.9
2016-12-05,19.67
2016-12-06,20.21
2016-12-07,19.39
2016-12-08,15.03
2016-12-09,14.83
2016-12-12,14.55
2016-12-13,14.95
2016-12-14,15.1
2016-12-15,14.93
2016-12-16,16.44
2016-12-19,16.07
2016-12-20,15.9
2016-12-21,16.0
2016-12-22,16.01
2016-12-23,17.02
2016-12-27,16.79
2016-12-28,16.27
2016-12-29,16.2
2016-12-30,16.18
2017-01-03,16.89
2017-01-04,17.28
2017-01-05,17.07
2017-01-06,17.52
2017-01-09,17.75
2017-01-10,18.09
2017-01-11,17.31
2017-01-12,17.32
2017-01-13,17.43
2017-01-17,16.75
2017-01-18,17.12
2017-01-19,16.86
2017-01-20,16.8
2017-01-23,16.47
2017-01-24,16.5
2017-01-25,16.34
2017-01-26,15.86
2017-01-27,15.96
2017-01-30,15.53
2017-01-31,16.37
2017-02-01,16.51
2017-02-02,16.6
2017-02-03,16.85
2017-02-06,16.86
2017-02-07,16.63
2017-02-08,16.74
2017-02-09,16.74
2017-02-10,16.33
2017-02-13,16.41
2017-02-14,16.78
2017-02-15,17.33
2017-02-16,17.02
2017-02-17,16.97
2017-02-21,17.19
2017-02-22,17.04
2017-02-23,17.15
2017-02-24,17.45
2017-02-27,16.48
2017-02-28,16.05
2017-03-01,16.15
2017-03-02,16.1
2017-03-03,16.11
2017-03-06,15.5
2017-03-07,14.97
2017-03-08,15.02
2017-03-09,14.82
2017-03-10,15.4
2017-03-13,15.22
2017-03-14,15.26
2017-03-15,15.59
2017-03-16,15.36
2017-03-17,15.13
2017-03-20,15.05
2017-03-21,14.49
2017-03-22,14.52
2017-03-23,14.56
2017-03-24,14.37
2017-03-27,14.84
2017-03-28,14.41
2017-03-29,15.11
2017-03-30,15.01
2017-03-31,14.78
2017-04-03,14.54
2017-04-04,14.35
2017-04-05,14.19
2017-04-06,14.43
2017-04-07,14.98
2017-04-10,15.4
2017-04-11,15.13
2017-04-12,15.18
2017-04-13,15.33
2017-04-17,15.2
2017-04-18,15.04
2017-04-19,15.2
2017-04-20,15.24
2017-04-21,14.99
2017-04-24,15.2
2017-04-25,15.16
2017-04-26,15.35
2017-04-27,15.49
2017-04-28,15.38
2017-05-01,15.69
2017-05-02,15.75
2017-05-03,15.12
2017-05-04,15.27
2017-05-05,15.58
2017-05-08,10.12
2017-05-09,9.92
2017-05-10,9.65
2017-05-11,10.3
2017-05-12,10.19
2017-05-15,10.75
2017-05-16,10.83
2017-05-17,10.94
2017-05-18,10.66
2017-05-19,10.5
2017-05-22,10.33
2017-05-23,10.17
2017-05-24,10.12
2017-05-25,9.97
2017-05-26,10.2
2017-05-30,10.09
2017-05-31,10.0
2017-06-01,10.55
2017-06-02,10.69
2017-06-05,10.92
2017-06-06,11.04
2017-06-07,11.08
2017-06-08,11.45
2017-06-09,11.2
2017-06-12,11.0
