date,close,Mkt-RF,SMB,HML,RMW,CMA
2015-05-20,13.25,-0.05,0.19,-0.13,-0.13,0.06
2015-05-21,13.26,0.23,-0.3,-0.02,0.07,-0.15
2015-05-22,13.44,-0.22,-0.13,-0.14,-0.13,-0.07
2015-05-26,13.2,-1.01,-0.03,-0.01,-0.12,0.16
2015-05-27,13.51,0.93,0.29,-0.35,-0.03,-0.32
2015-05-28,13.48,-0.12,0.1,0.13,-0.23,0.09
2015-05-29,14.22,-0.58,0.05,0.06,-0.27,-0.02
2015-06-01,14.0,0.17,-0.06,-0.22,0.22,-0.37
2015-06-02,14.54,-0.02,0.32,0.33,-0.2,0.17
2015-06-03,14.59,0.39,0.86,-0.24,-0.12,-0.04
2015-06-04,14.63,-0.88,-0.08,-0.01,0.19,-0.03
2015-06-05,15.43,0.06,0.83,0.05,-0.52,-0.38
2015-06-08,15.7,-0.66,0.06,0.03,0.05,0.05
2015-06-09,16.02,0.02,-0.29,0.35,0.13,0.1
2015-06-10,15.9,1.2,0.16,0.19,-0.02,0.02
2015-06-11,16.23,0.21,-0.09,-0.11,0.16,0.0
2015-06-12,18.1,-0.63,0.34,0.13,0.06,0.1
2015-06-15,18.37,-0.45,0.15,-0.13,-0.2,-0.25
2015-06-16,16.9,0.57,0.1,0.0,0.14,-0.07
2015-06-17,16.01,0.16,-0.31,-0.63,0.15,-0.09
2015-06-18,17.09,0.99,0.16,-0.43,-0.13,-0.16
2015-06-19,16.59,-0.43,0.52,-0.2,0.07,-0.05
2015-06-22,16.76,0.63,0.09,-0.06,-0.16,-0.24
2015-06-23,16.74,0.12,0.24,0.27,-0.08,0.0
2015-06-24,16.87,-0.79,-0.14,0.13,0.18,-0.01
2015-06-25,17.01,-0.25,0.33,-0.2,0.18,-0.08
2015-06-26,16.65,-0.06,-0.19,0.45,0.32,0.35
2015-06-29,16.33,-2.15,-0.41,0.18,0.31,0.1
2015-06-30,16.98,0.33,0.3,-0.67,-0.31,-0.63
2015-07-01,16.96,0.6,-0.75,-0.06,0.19,0.07
2015-07-02,16.75,-0.11,-0.61,-0.04,-0.07,0.0
2015-07-06,17.3,-0.37,0.08,-0.55,-0.2,-0.22
2015-07-07,17.66,0.53,-0.49,-0.25,0.42,-0.02
2015-07-08,17.22,-1.68,-0.04,0.07,0.13,0.12
2015-07-09,16.81,0.29,0.18,-0.02,-0.29,-0.24
2015-07-10,18.07,1.24,0.18,-0.55,-0.2,-0.07
2015-07-13,18.92,1.14,-0.12,-0.42,0.1,-0.31
2015-07-14,19.12,0.47,0.11,0.13,-0.33,-0.36
2015-07-15,19.2,-0.19,-0.81,-0.08,-0.25,-0.3
2015-07-16,20.0,0.78,-0.25,-0.62,-0.25,-0.66
2015-07-17,20.15,0.05,-0.68,-0.64,-0.26,-0.93
2015-07-20,19.53,-0.01,-0.8,-0.58,0.34,-0.29
2015-07-21,19.88,-0.47,0.07,0.29,-0.22,-0.07
2015-07-22,20.13,-0.18,0.27,0.19,-0.35,0.11
2015-07-23,19.98,-0.6,-0.38,-0.34,-0.05,-0.04
2015-07-24,20.11,-1.08,-0.66,-0.02,0.0,-0.02
2015-07-27,20.02,-0.74,-0.25,0.08,0.08,0.38
2015-07-28,21.19,1.23,-0.33,-0.11,0.06,0.15
2015-07-29,20.45,0.74,-0.22,0.52,0.88,0.3
2015-07-30,20.4,0.12,0.19,-0.26,0.1,-0.13
2015-07-31,21.21,-0.15,0.73,-0.99,0.24,-0.06
2015-08-03,21.1,-0.35,-0.33,-0.16,0.07,0.04
2015-08-04,21.26,-0.14,0.04,-0.19,-0.03,0.19
2015-08-05,19.22,0.36,-0.07,-0.45,0.01,-0.06
2015-08-06,18.54,-0.88,-0.37,1.99,0.23,0.74
2015-08-07,17.6,-0.36,-0.4,-0.35,0.32,0.18
2015-08-10,17.84,1.32,0.19,0.69,0.22,0.04
2015-08-11,17.74,-0.98,-0.06,0.43,0.1,0.08
2015-08-12,18.06,0.07,-0.19,-0.28,-0.11,-0.16
2015-08-13,17.43,-0.14,-0.4,0.01,0.13,-0.09
2015-08-14,17.44,0.43,0.13,0.43,-0.09,0.06
2015-08-17,18.37,0.6,0.35,-0.87,-0.21,-0.43
2015-08-18,17.45,-0.35,-0.61,0.35,0.36,0.1
2015-08-19,18.41,-0.85,-0.2,-0.22,-0.13,-0.03
2015-08-20,16.77,-2.24,-0.21,0.6,0.59,0.67
2015-08-21,16.73,-2.95,1.8,0.14,-0.72,0.84
2015-08-24,15.39,-3.9,0.27,-0.43,0.41,0.12
2015-08-25,15.74,-1.17,0.57,-0.61,-0.27,-0.64
2015-08-26,16.48,3.68,-1.43,-0.38,0.19,-0.69
2015-08-27,17.52,2.4,-0.61,0.6,-0.28,-0.24
2015-08-28,17.8,0.23,0.98,0.08,-0.16,0.08
2015-08-31,18.15,-0.74,0.9,1.42,0.11,0.5
2015-09-01,18.83,-2.91,0.26,-0.5,-0.03,0.08
2015-09-02,19.75,1.81,-0.32,-0.93,0.21,-0.69
2015-09-03,19.66,0.17,-0.17,0.73,0.35,0.75
2015-09-04,19.62,-1.39,0.82,-0.58,-0.07,-0.46
2015-09-08,19.96,2.52,-0.41,-0.56,-0.06,-0.29
2015-09-09,18.73,-1.34,0.17,0.11,0.18,0.01
2015-09-10,19.45,0.49,-0.2,-0.31,-0.24,-0.69
2015-09-11,20.2,0.44,-0.28,-0.7,-0.06,-0.28
2015-09-14,20.16,-0.41,0.03,0.01,-0.04,-0.07
2015-09-15,20.22,1.22,-0.15,0.24,0.0,0.08
2015-09-16,20.45,0.84,0.06,0.44,0.33,0.22
2015-09-17,21.14,-0.17,0.75,-1.49,-0.28,-0.53
2015-09-18,20.97,-1.62,0.26,-0.95,-0.42,-0.53
2015-09-21,19.45,0.36,-0.83,1.21,0.46,0.21
2015-09-22,19.27,-1.29,-0.29,0.14,0.28,0.08
2015-09-23,19.17,-0.27,-0.21,-0.15,-0.15,-0.27
2015-09-24,18.21,-0.36,0.25,0.56,-0.05,0.04
2015-09-25,16.57,-0.22,-1.43,1.87,0.53,0.68
2015-09-28,14.51,-2.63,-0.18,1.17,0.62,0.71
2015-09-29,13.62,-0.07,-0.59,0.72,0.71,0.65
2015-09-30,14.03,1.88,-0.49,-0.48,-0.41,-0.35
2015-10-01,14.15,0.13,-0.52,-0.04,-0.15,-0.21
2015-10-02,15.33,1.48,0.28,-0.84,-0.1,-0.03
2015-10-05,15.01,1.93,0.74,0.77,0.14,0.64
2015-10-06,13.77,-0.43,-0.09,1.73,0.35,0.57
2015-10-07,14.47,0.94,0.68,-0.24,-0.23,-0.01
2015-10-08,14.32,0.84,0.35,0.76,0.54,0.75
2015-10-09,14.48,0.12,0.1,-1.08,0.16,-0.16
2015-10-12,14.61,0.06,-0.43,-0.07,0.12,-0.1
2015-10-13,14.69,-0.74,-0.66,0.69,0.29,0.21
2015-10-14,13.94,-0.6,-0.27,-0.03,-0.48,0.36
2015-10-15,16.21,1.56,0.59,-0.15,-1.1,-0.5
2015-10-16,16.31,0.36,-0.55,-0.35,0.0,0.02
2015-10-19,17.38,0.0,0.09,-0.71,0.13,-0.34
2015-10-20,15.79,-0.15,0.17,1.21,0.48,0.27
2015-10-21,15.81,-0.74,-0.88,-0.18,0.46,0.23
2015-10-22,15.27,1.5,-0.76,0.47,0.06,0.56
2015-10-23,15.97,1.09,-0.09,-0.59,0.19,-0.84
2015-10-26,15.59,-0.2,-0.46,-0.72,0.2,-0.17
2015-10-27,15.7,-0.42,-1.06,-0.88,-0.42,-0.5
2015-10-28,16.91,1.43,1.5,0.64,-0.68,-0.24
2015-10-29,16.53,-0.2,-0.89,0.1,0.41,-0.2
2015-10-30,16.5,-0.41,0.21,-0.55,0.35,0.08
2015-11-02,17.22,1.25,0.9,-0.02,-0.49,-0.05
2015-11-03,17.78,0.32,0.47,0.22,0.03,-0.09
2015-11-04,18.26,-0.26,0.18,-0.33,-0.61,-0.68
2015-11-05,17.78,-0.08,0.04,0.46,0.04,0.14
2015-11-06,18.11,0.14,0.85,0.28,-0.54,-0.2
2015-11-09,18.27,-0.95,-0.26,-0.04,-0.65,-0.01
2015-11-10,18.86,0.13,0.01,0.27,-0.11,0.21
2015-11-11,17.59,-0.43,-0.57,-0.18,-0.13,0.06
2015-11-12,16.32,-1.45,-0.56,-0.45,0.17,-0.28
2015-11-13,16.2,-1.06,0.32,0.39,-0.61,0.42
2015-11-16,16.11,1.39,-0.53,0.45,0.18,-0.15
2015-11-17,16.68,-0.11,-0.24,-0.66,0.02,-0.17
2015-11-18,16.51,1.61,-0.02,-0.09,-0.09,-0.4
2015-11-19,15.97,-0.13,-0.28,-0.11,0.16,0.14
2015-11-20,15.45,0.35,0.4,-0.42,0.29,0.01
2015-11-23,15.33,-0.01,0.61,-0.35,0.12,-0.17
