date,open,high,low,close,volume
2015-06-15,22.21,22.76,21.83,22.71,1022248
2015-06-16,22.75,22.94,22.48,22.63,625769
2015-06-17,22.7,23.0,22.48,22.88,844558
2015-06-18,23.0,25.15,22.86,24.42,2820323
2015-06-19,25.5,25.56,23.5,23.78,2364291
2015-06-22,23.93,24.34,23.33,24.28,942957
2015-06-23,24.24,24.52,23.91,24.49,503562
2015-06-24,24.5,24.5,23.29,23.52,720346
2015-06-25,23.56,23.7,22.73,22.98,829765
2015-06-26,22.93,23.65,22.85,23.61,1449141
2015-06-29,22.98,23.31,22.08,22.58,769409
2015-06-30,22.94,23.23,22.69,22.81,734386
2015-07-01,23.01,23.16,22.1,22.43,700485
2015-07-02,21.58,21.6,20.41,21.27,1711392
2015-07-06,21.07,21.93,21.0,21.74,845285
2015-07-07,21.81,21.81,21.16,21.61,732834
2015-07-08,21.48,21.64,20.96,21.21,693723
2015-07-09,21.56,21.77,21.11,21.27,518102
2015-07-10,21.44,22.08,21.44,21.76,665435
2015-07-13,21.8,21.93,21.62,21.76,476229
2015-07-14,21.83,22.86,21.78,22.5,728780
2015-07-15,22.73,22.87,21.9,21.98,644701
2015-07-16,22.21,22.83,21.94,22.69,1063082
2015-07-17,22.9,23.89,22.68,23.54,1196319
2015-07-20,23.56,23.69,22.96,23.14,728092
2015-07-21,22.92,23.08,22.45,22.89,641305
2015-07-22,22.62,23.16,22.53,23.1,314542
2015-07-23,23.09,23.24,22.58,22.6,706704
2015-07-24,22.42,22.77,21.85,22.0,823606
2015-07-27,21.92,22.4,21.61,21.97,517201
2015-07-28,22.15,22.57,21.63,22.43,556862
2015-07-29,22.45,22.47,21.67,21.96,374586
2015-07-30,21.8,21.9,21.03,21.75,536300
2015-07-31,21.74,22.34,21.18,21.74,596446
2015-08-03,21.68,21.97,21.47,21.76,713969
2015-08-04,21.76,22.59,21.05,22.05,984771
2015-08-05,22.2,23.62,22.0,23.12,1078270
2015-08-06,22.5,23.02,21.86,22.08,1542697
2015-08-07,22.0,22.34,21.24,22.08,917203
2015-08-10,22.17,22.63,21.85,22.48,951356
